code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
47083;Doudrac;63.0664928292047;49.8461538461539;6.10169491525422;9.675018605804985;Faible (5-10%)
47084;Douzains;194.516704560622;122.306081849999;55.8428815628816;28.70852747018337;Élevé (20-40%)
47085;Durance;184.071296238019;131.387869794816;24.9048925004233;13.530025055193438;Moyen (10-20%)
47086;Duras;833.690739203661;592.44009382747;92.6321043427571;11.11108711981604;Moyen (10-20%)
47087;Engayrac;91.8341799328413;68.5667380723763;16.1860465116278;17.625296511020974;Moyen (10-20%)
47088;Escassefort;380.078651755631;325.598749441595;12.3817959804628;3.257693091487704;Très faible (0-5%)
47089;Esclottes;112.375971143174;76.7058823529412;34.6509433962264;30.83483332222236;Élevé (20-40%)
47090;Espiens;186.668114917721;152.911803413102;17.9330404868288;9.606911439981742;Faible (5-10%)
47091;Estillac;1152.96579079346;1053.82724225435;29.530631479736;2.5612756003292434;Très faible (0-5%)
47092;Fals;175.088571078633;164.856012939098;4.093023255814;2.3376872805568825;Très faible (0-5%)
47093;Fargues-Sur-Ourbise;233.150559377192;167.884165934569;39.1598360655739;16.79594343251004;Moyen (10-20%)
47094;Fauguerolles;371.688640852035;330.726074007115;7.168449197861;1.9286166995656664;Très faible (0-5%)
47095;Fauillet;438.0;382.0;12.0;2.73972602739726;Très faible (0-5%)
47096;Ferrensac;132.102705058771;94.3682351134162;22.8392844406098;17.289036155958247;Moyen (10-20%)
47097;Feugarolles;487.808049979021;410.199825733147;25.1974754045045;5.1654488698142975;Faible (5-10%)
47098;Fieux;178.0;145.0;15.0;8.426966292134832;Faible (5-10%)
47099;Fongrave;319.347965818602;266.345449245845;26.5012582863785;8.298552401436591;Faible (5-10%)
47100;Foulayronnes;2618.09708009199;2449.21392808403;27.9863509041765;1.0689577218883406;Très faible (0-5%)
47101;Fourques-Sur-Garonne;652.917410850791;594.863442596822;7.25674603174605;1.111433990141275;Très faible (0-5%)
47102;Francescas;381.962608995919;309.145888544934;4.98744660623184;1.3057421037474186;Très faible (0-5%)
47103;Fréchou;133.896165214213;101.731914006483;18.6760168302946;13.948134213116472;Moyen (10-20%)
47104;Frégimont;150.0;122.0;11.0;7.333333333333333;Faible (5-10%)
47105;Frespech;163.867891397117;124.270495563784;22.1008720930232;13.48700584635217;Moyen (10-20%)
47106;Fumel;3032.80735713231;2280.86416015899;199.515594930252;6.578577912673795;Faible (5-10%)
47107;Galapian;181.0;156.0;16.0;8.83977900552486;Faible (5-10%)
47108;Gaujac;129.203710389839;109.203710389839;7.0;5.417801066919285;Faible (5-10%)
47109;Gavaudun;240.420704109124;136.192869057577;98.036082474227;40.7768885119518;Très élevé (40%+)
47110;Gontaud-De-Nogaret;862.845446330037;740.326039937343;15.1883561643835;1.7602638142189344;Très faible (0-5%)
47111;Granges-Sur-Lot;314.940138058319;263.939119789376;15.0002994908657;4.762904970876726;Très faible (0-5%)
47112;Grateloup Saint Gayrand;239.0;204.0;17.0;7.112970711297072;Faible (5-10%)
47113;Grayssas;79.4790867579909;64.68;5.6919564453811;7.161577564061311;Faible (5-10%)
47114;Grézet-Cavagnan;193.0;170.0;15.0;7.772020725388601;Faible (5-10%)
47115;Guérin;132.0;116.0;11.0;8.333333333333332;Faible (5-10%)
47117;Hautefage-La-Tour;516.0;431.0;35.0;6.782945736434108;Faible (5-10%)
47118;Hautesvignes;84.0;71.0;7.0;8.333333333333332;Faible (5-10%)
47119;Houeillès;437.102072479889;296.676477241793;84.884128464819;19.41974971274576;Moyen (10-20%)
47120;Jusix;53.1758380771663;39.6274509803921;6.77419354838709;12.739232315542814;Moyen (10-20%)
47121;Labastide-Castel-Amouroux;173.0;147.0;7.0;4.046242774566474;Très faible (0-5%)
47122;Labretonie;92.0;75.0;6.0;6.521739130434782;Faible (5-10%)
47123;Lacapelle-Biron;336.98757727413;202.616646257095;102.644461193568;30.45941990617346;Élevé (20-40%)
47124;Lacaussade;121.649289099526;93.6492890995261;14.0;11.508493065295315;Moyen (10-20%)
47125;Lacépède;189.7183162794;137.907751616376;29.8907103825136;15.755310804304871;Moyen (10-20%)
47126;Lachapelle;50.4125164471829;40.4125164471829;6.0;11.901806183958676;Moyen (10-20%)
47127;Lafitte-Sur-Lot;426.945039616359;352.262568937556;25.576188588631;5.990510771975019;Faible (5-10%)
47128;Lafox;543.121639729392;502.756668461775;4.03649712676176;0.743203148519902;Très faible (0-5%)
47129;Lagarrigue;136.070144306331;117.871887225721;7.49339997436884;5.507012587198521;Faible (5-10%)
47130;Lagruère;188.002816276122;145.688286361592;17.9836752136753;9.565641392979169;Faible (5-10%)
47131;Lagupie;315.731809319823;296.604541509931;7.87593380407288;2.4945012100744317;Très faible (0-5%)
47132;Lalandusse;143.558280638534;100.113836194089;29.2997416020671;20.40964928790213;Élevé (20-40%)
47133;Lamontjoie;306.0;224.0;21.0;6.862745098039216;Faible (5-10%)
47134;Lannes;257.515479093997;179.520627099145;42.1593794566768;16.37159040109119;Moyen (10-20%)
47135;Laparade;261.127472622824;198.147876820259;22.7139525845316;8.698415511928896;Faible (5-10%)
47136;Laperche;85.0;69.0;8.0;9.411764705882351;Faible (5-10%)
47137;Laplume;684.943931714863;586.617326115319;21.4176764672275;3.126924040863467;Très faible (0-5%)
47138;Laroque-Timbaut;911.423745961649;752.753184984911;49.5213852729946;5.4334095959661735;Faible (5-10%)
47139;Lasserre;51.0772872340425;44.8297872340425;3.12375;6.115731999795893;Faible (5-10%)
47140;Laugnac;345.319326854655;284.415387515922;32.5521055086332;9.42666771800305;Faible (5-10%)
47141;Laussou;188.145166382038;131.546235900755;48.5133689839574;25.785073258511797;Élevé (20-40%)
47142;Lauzun;576.0;372.0;136.0;23.61111111111111;Élevé (20-40%)
47143;Lavardac;1341.68433410121;1099.14733830809;39.386349744182;2.9355898957087243;Très faible (0-5%)
47144;Lavergne;333.93773440738;264.9458943421;35.5105059159525;10.633870406700504;Moyen (10-20%)
47145;Layrac;2009.34630470583;1771.48315850362;61.7097784958561;3.0711370335384003;Très faible (0-5%)
47146;Lédat;640.793558641355;577.81932230813;20.3142697849114;3.17017384319262;Très faible (0-5%)
47147;Lévignac-De-Guyenne;468.519275599674;344.832639654974;88.202764976958;18.82585617508783;Moyen (10-20%)
47148;Leyritz-Moncassin;113.0;90.0;10.0;8.849557522123893;Faible (5-10%)
47150;Longueville;180.713952192375;162.31834779677;1.02197802197803;0.5655224788012528;Très faible (0-5%)
47151;Loubès-Bernac;305.0;191.0;108.0;35.40983606557377;Élevé (20-40%)
47152;Lougratte;260.0;192.0;36.0;13.846153846153848;Moyen (10-20%)
47154;Lusignan-Petit;163.018083840832;148.218028778543;2.96001101245784;1.8157562294425829;Très faible (0-5%)
